File Name,Exposure Time,File Path,Step,Gas Type
test_03_04_1313_Ar_30sec.fits,31.313,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/03-07-2024/Argon_11psi_0014_HV250mA_HV8300VDial_MCP2850V_first/test_03_04_1313_Ar_30sec.fits,1313,Ar
test_03_04_1183_Ar_60sec.fits,60.032,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/03-07-2024/Argon_11psi_0014_HV250mA_HV8300VDial_MCP2850V_first/test_03_04_1183_Ar_60sec.fits,1183,Ar
test_03_04_1273_Ar_60sec.fits,60.0,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/03-07-2024/Argon_11psi_0014_HV250mA_HV8300VDial_MCP2850V_first/test_03_04_1273_Ar_60sec.fits,1273,Ar
test_03_04_1283_Ar_60sec.fits,60.015,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/03-07-2024/Argon_11psi_0014_HV250mA_HV8300VDial_MCP2850V_first/test_03_04_1283_Ar_60sec.fits,1283,Ar
test_03_04_1203_Ar_60sec.fits,60.094,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/03-07-2024/Argon_11psi_0014_HV250mA_HV8300VDial_MCP2850V_first/test_03_04_1203_Ar_60sec.fits,1203,Ar
test_03_04_1213_Ar_60sec.fits,60.125,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/03-07-2024/Argon_11psi_0014_HV250mA_HV8300VDial_MCP2850V_first/test_03_04_1213_Ar_60sec.fits,1213,Ar
test_03_04_1293_Ar_60sec.fits,60.0,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/03-07-2024/Argon_11psi_0014_HV250mA_HV8300VDial_MCP2850V_first/test_03_04_1293_Ar_60sec.fits,1293,Ar
test_03_04_1263_Ar_60sec.fits,60.031,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/03-07-2024/Argon_11psi_0014_HV250mA_HV8300VDial_MCP2850V_first/test_03_04_1263_Ar_60sec.fits,1263,Ar
test_03_04_1243_Ar_60sec.fits,60.015,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/03-07-2024/Argon_11psi_0014_HV250mA_HV8300VDial_MCP2850V_first/test_03_04_1243_Ar_60sec.fits,1243,Ar
test_03_04_1233_Ar_60sec.fits,60.031,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/03-07-2024/Argon_11psi_0014_HV250mA_HV8300VDial_MCP2850V_first/test_03_04_1233_Ar_60sec.fits,1233,Ar
test_03_04_1223_Ar_60sec.fits,60.047,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/03-07-2024/Argon_11psi_0014_HV250mA_HV8300VDial_MCP2850V_first/test_03_04_1223_Ar_60sec.fits,1223,Ar
test_03_04_1303_Ar_60sec.fits,60.0,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/03-07-2024/Argon_11psi_0014_HV250mA_HV8300VDial_MCP2850V_first/test_03_04_1303_Ar_60sec.fits,1303,Ar
test_03_04_1253_Ar_60sec.fits,60.015,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/03-07-2024/Argon_11psi_0014_HV250mA_HV8300VDial_MCP2850V_first/test_03_04_1253_Ar_60sec.fits,1253,Ar
test_03_04_1650_N2_60sec.fits,60.016,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/Nitrogen_15.5psi_0013_HV100mA_HV1.3kV_MCP2.85kV/test_03_04_1650_N2_60sec.fits,1650,N2
test_03_04_1700_N2_60sec.fits,60.0,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/Nitrogen_15.5psi_0013_HV100mA_HV1.3kV_MCP2.85kV/test_03_04_1700_N2_60sec.fits,1700,N2
test_03_04_1150_N2_60sec.fits,60.031,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/Nitrogen_15.5psi_0013_HV100mA_HV1.3kV_MCP2.85kV/test_03_04_1150_N2_60sec.fits,1150,N2
test_03_04_1000_N2_60sec.fits,60.109,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/Nitrogen_15.5psi_0013_HV100mA_HV1.3kV_MCP2.85kV/test_03_04_1000_N2_60sec.fits,1000,N2
test_03_04_1050_N2_60sec.fits,60.141,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/Nitrogen_15.5psi_0013_HV100mA_HV1.3kV_MCP2.85kV/test_03_04_1050_N2_60sec.fits,1050,N2
test_03_04_1100_N2_60sec.fits,60.062,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/Nitrogen_15.5psi_0013_HV100mA_HV1.3kV_MCP2.85kV/test_03_04_1100_N2_60sec.fits,1100,N2
test_03_04_1600_N2_60sec.fits,60.0,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/Nitrogen_15.5psi_0013_HV100mA_HV1.3kV_MCP2.85kV/test_03_04_1600_N2_60sec.fits,1600,N2
test_03_04_1250_N2_60sec.fits,60.0,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/Nitrogen_15.5psi_0013_HV100mA_HV1.3kV_MCP2.85kV/test_03_04_1250_N2_60sec.fits,1250,N2
test_03_04_1300_N2_60sec.fits,60.0,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/Nitrogen_15.5psi_0013_HV100mA_HV1.3kV_MCP2.85kV/test_03_04_1300_N2_60sec.fits,1300,N2
test_03_04_1550_N2_60sec.fits,60.0,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/Nitrogen_15.5psi_0013_HV100mA_HV1.3kV_MCP2.85kV/test_03_04_1550_N2_60sec.fits,1550,N2
test_03_04_1400_N2_60sec.fits,60.0,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/Nitrogen_15.5psi_0013_HV100mA_HV1.3kV_MCP2.85kV/test_03_04_1400_N2_60sec.fits,1400,N2
test_03_04_1450_N2_60sec.fits,60.016,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/Nitrogen_15.5psi_0013_HV100mA_HV1.3kV_MCP2.85kV/test_03_04_1450_N2_60sec.fits,1450,N2
test_03_04_1500_N2_60sec.fits,60.0,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/Nitrogen_15.5psi_0013_HV100mA_HV1.3kV_MCP2.85kV/test_03_04_1500_N2_60sec.fits,1500,N2
test_03_04_1350_N2_60sec.fits,60.0,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/Nitrogen_15.5psi_0013_HV100mA_HV1.3kV_MCP2.85kV/test_03_04_1350_N2_60sec.fits,1350,N2
test_03_04_1200_N2_60sec.fits,60.016,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/Nitrogen_15.5psi_0013_HV100mA_HV1.3kV_MCP2.85kV/test_03_04_1200_N2_60sec.fits,1200,N2
test_03_01_1350_Ar_120sec.fits,120.0,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/03-01-2024/Argon_12psi_0015_HV100mA_HV1400V_MCP_2850V/test_03_01_1350_Ar_120sec.fits,1350,Ar
test_03_01_1400_Ar_120sec.fits,120.031,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/03-01-2024/Argon_12psi_0015_HV100mA_HV1400V_MCP_2850V/test_03_01_1400_Ar_120sec.fits,1400,Ar
